,accuracy,balanced_accuracy,f1_score_per_class,f1_score_macro,confusion_matrix
MostFrequent,0.475487047741383,0.3333333333333333,"{0: 0.0, 1: 0.6445153801508996, 2: 0.0}",0.21483846005029986,"[[   0 1080    0]
 [   0 2221    0]
 [   0 1370    0]]"
TfIDF,0.41704131877542283,0.39130595124155265,"{0: 0.3083969465648855, 1: 0.4836083608360836, 2: 0.3855932203389831}",0.39253284257998405,"[[ 303  592  185]
 [ 391 1099  731]
 [ 191  633  546]]"
ZeroShotClassifier,0.4808392207236138,0.3827144294731121,"{0: 0.216053108026554, 1: 0.6402449396155809, 2: 0.20487264673311184}",0.35372356479174893,"[[ 179  812   89]
 [ 177 1882  162]
 [ 221  964  185]]"
DistilbertPredictor,0.47719974309569685,0.4345854727399339,"{0: 0.36717267552182165, 1: 0.5721732157177225, 2: 0.3695458593054319}",0.43629725018165866,"[[ 387  574  119]
 [ 452 1427  342]
 [ 189  766  415]]"
