,accuracy,balanced_accuracy,f1_score_per_class,f1_score_macro,confusion_matrix
MostFrequent,0.47845565950718144,0.3333333333333333,"{0: 0.0, 1: 0.6472370766488413, 2: 0.0}",0.21574569221628045,"[[    0  5228     0]
 [    0 10893     0]
 [    0  6646     0]]"
TfIDF,0.3952211534238152,0.38078006073438714,"{0: 0.31057891759381484, 1: 0.45615550755939527, 2: 0.3688355921379408}",0.3785233390970503,"[[1647 2407 1174]
 [2467 4752 3674]
 [1264 2783 2599]]"
ZeroShotClassifier,0.45539596784820136,0.37134415887348765,"{0: 0.2112234227953991, 1: 0.6108823856681874, 2: 0.2456351595424443}",0.35591365600201025,"[[ 909 3597  722]
 [1284 8235 1374]
 [1186 4236 1224]]"
DistilbertPredictor,0.44050599551983133,0.41011638796437383,"{0: 0.3427123857776169, 1: 0.5332395975218595, 2: 0.3526701927998635}",0.40954072536644665,"[[1894 2462  872]
 [2688 6068 2137]
 [1243 3336 2067]]"
