,accuracy,balanced_accuracy,f1_score_per_class,f1_score_macro,confusion_matrix
MostFrequent,0.47845565950718144,0.3333333333333333,"{0: 0.7703693942987657, 1: 0.47845565950718144, 2: 0.7080862652084157}",0.21574569221628045,"[[    0  5228     0]
 [    0 10893     0]
 [    0  6646     0]]"
TfIDF,0.3952211534238152,0.38078006073438714,"{0: 0.6788333992181667, 1: 0.502305969165898, 2: 0.6093029384635656}",0.3785233390970503,"[[1647 2407 1174]
 [2467 4752 3674]
 [1264 2783 2599]]"
ZeroShotClassifier,0.45539596784820136,0.37134415887348765,"{0: 0.7018052444327316, 1: 0.5392014758202662, 2: 0.669785215443405}",0.35591365600201025,"[[ 909 3597  722]
 [1284 8235 1374]
 [1186 4236 1224]]"
DistilbertPredictor,0.44050599551983133,0.41011638796437383,"{0: 0.6808977906619229, 1: 0.5334036104888654, 2: 0.6667105898888742}",0.40954072536644665,"[[1894 2462  872]
 [2688 6068 2137]
 [1243 3336 2067]]"
