,accuracy,balanced_accuracy,f1_score_per_class,f1_score_macro,confusion_matrix
MostFrequent,0.475487047741383,0.3333333333333333,"{0: 0.7687861271676301, 1: 0.475487047741383, 2: 0.7067009205737529}",0.21483846005029986,"[[   0 1080    0]
 [   0 2221    0]
 [   0 1370    0]]"
TfIDF,0.41704131877542283,0.39130595124155265,"{0: 0.7090558766859345, 1: 0.49753800042817387, 2: 0.6274887604367373}",0.39253284257998405,"[[ 303  592  185]
 [ 391 1099  731]
 [ 191  633  546]]"
ZeroShotClassifier,0.4808392207236138,0.3827144294731121,"{0: 0.7219010918432883, 1: 0.5472061657032755, 2: 0.6925711839006636}",0.35372356479174893,"[[ 179  812   89]
 [ 177 1882  162]
 [ 221  964  185]]"
DistilbertPredictor,0.47719974309569685,0.4345854727399339,"{0: 0.7144080496681653, 1: 0.5431385142367802, 2: 0.6968529222864484}",0.43629725018165866,"[[ 387  574  119]
 [ 452 1427  342]
 [ 189  766  415]]"
